学年,学期,教学班,课程号,课程名称,开课学院,计划学院,学分,课程性质,课程类别名称,开课类型,年级,专业,成绩录入老师,职称,上课人数,理论,上机,实验,实践,周日,周一,周二,周三,周四,周五,周六,选课备注,其他教师,教材名称,出版社
2025-2026,2,(2025-2026-2)-3000260011159-01,3000260011159,图像数据智能管理（创）,信息管理学院,信息管理学院,3.0,专业教育选修,创新创业课程,专业教育课程,2023,编辑出版学（本硕博）,张睿,副教授,80\0,48,,,,,"1-16周8-10节1区枫-204(126,多媒体)",,,,,,,,面向大数据的高维数据挖掘技术,西安电子科技大学出版社
2025-2026,2,(2025-2026-2)-3000260011159-01,3000260011159,图像数据智能管理（创）,信息管理学院,信息管理学院,3.0,专业教育选修,创新创业课程,专业教育课程,2023,大数据管理与应用（本硕博）,张睿,副教授,80\0,48,,,,,"1-16周8-10节1区枫-204(126,多媒体)",,,,,,,,面向大数据的高维数据挖掘技术,西安电子科技大学出版社
2025-2026,2,(2025-2026-2)-3000260011159-01,3000260011159,图像数据智能管理（创）,信息管理学院,信息管理学院,3.0,专业教育选修,创新创业课程,专业教育课程,2023,信息管理与信息系统（本硕博）,张睿,副教授,80\0,48,,,,,"1-16周8-10节1区枫-204(126,多媒体)",,,,,,,,面向大数据的高维数据挖掘技术,西安电子科技大学出版社
2025-2026,2,(2025-2026-2)-3000260011159-01,3000260011159,图像数据智能管理（创）,信息管理学院,信息管理学院,3.0,专业教育选修,创新创业课程,专业教育课程,2023,大数据管理与应用,张睿,副教授,80\0,48,,,,,"1-16周8-10节1区枫-204(126,多媒体)",,,,,,,,面向大数据的高维数据挖掘技术,西安电子科技大学出版社
2025-2026,2,(2025-2026-2)-3200260011034-01,3200260011034,信息计量学,信息管理学院,信息管理学院,2.0,专业教育必修,核心课程,专业教育课程,2023,信息管理与信息系统,赵蓉英,教授,52\0,32,,,,,,"1-10周11-13节1区枫-104(60,多媒体),11周11-12节1区枫-104(60,多媒体)",,,,,,,自编讲义,无
2025-2026,2,(2025-2026-2)-3200260011034-01,3200260011034,信息计量学,信息管理学院,信息管理学院,2.0,专业教育必修,核心课程,专业教育课程,2023,信息管理与信息系统（本硕博）,赵蓉英,教授,52\0,32,,,,,,"1-10周11-13节1区枫-104(60,多媒体),11周11-12节1区枫-104(60,多媒体)",,,,,,,自编讲义,无
2025-2026,2,(2025-2026-2)-3150260011024-01,3150260011024,知识产权管理,信息管理学院,信息管理学院,2.0,专业教育必修,专业课程,专业教育课程,2023,图书馆学,冉从敬,教授,32\0,23,,,9,,,,,"1-10周3-5节1区5-502(36,多媒体),11周3-4节1区5-502(36,多媒体)",,,,,知识产权法学,高等教育出版社
2025-2026,2,(2025-2026-2)-3000260011008-01,3000260011008,信息资源建设,信息管理学院,信息管理学院,2.0,专业教育必修,核心课程,专业教育课程,2023,图书馆学,陈一,副教授,32\0,26,,,6,,"1-6周1-2节1区5-513(40,多媒体)",,"1-6周3-5节1区5-513(40,多媒体),7周3-4节1区5-513(40,多媒体)",,,,,,信息资源建设,武汉大学出版社
2025-2026,2,(2025-2026-2)-300026001004-01,300026001004,大数据机器学习,信息管理学院,信息管理学院,3.0,专业教育必修,核心课程,专业教育课程,2023,大数据管理与应用（本硕博）,黄永,副教授,49\0,32,,16,,,,,"1-16周3-5节1区5-505(55,多媒体)",,,,,,自编讲义,无
2025-2026,2,(2025-2026-2)-300026001004-01,300026001004,大数据机器学习,信息管理学院,信息管理学院,3.0,专业教育必修,核心课程,专业教育课程,2023,大数据管理与应用,黄永,副教授,49\0,32,,16,,,,,"1-16周3-5节1区5-505(55,多媒体)",,,,,,自编讲义,无
2025-2026,2,(2025-2026-2)-3000260011109-01,3000260011109,科学大数据管理,信息管理学院,信息管理学院,2.0,专业教育选修,专业课程,专业教育课程,2023,编辑出版学,张睿,副教授,80\0,32,,,,,"1-16周6-7节1区枫-204(126,多媒体)",,,,,,,,档案学概论,中国人民大学出版社
2025-2026,2,(2025-2026-2)-3000260011109-01,3000260011109,科学大数据管理,信息管理学院,信息管理学院,2.0,专业教育选修,专业课程,专业教育课程,2023,信息管理与信息系统,张睿,副教授,80\0,32,,,,,"1-16周6-7节1区枫-204(126,多媒体)",,,,,,,,档案学概论,中国人民大学出版社
2025-2026,2,(2025-2026-2)-3000260011109-01,3000260011109,科学大数据管理,信息管理学院,信息管理学院,2.0,专业教育选修,专业课程,专业教育课程,2023,电子商务,张睿,副教授,80\0,32,,,,,"1-16周6-7节1区枫-204(126,多媒体)",,,,,,,,档案学概论,中国人民大学出版社
2025-2026,2,(2025-2026-2)-3000260011109-01,3000260011109,科学大数据管理,信息管理学院,信息管理学院,2.0,专业教育选修,专业课程,专业教育课程,2023,图书馆学,张睿,副教授,80\0,32,,,,,"1-16周6-7节1区枫-204(126,多媒体)",,,,,,,,档案学概论,中国人民大学出版社
2025-2026,2,(2025-2026-2)-3000260011109-01,3000260011109,科学大数据管理,信息管理学院,信息管理学院,2.0,专业教育选修,专业课程,专业教育课程,2023,档案学,张睿,副教授,80\0,32,,,,,"1-16周6-7节1区枫-204(126,多媒体)",,,,,,,,档案学概论,中国人民大学出版社
2025-2026,2,(2025-2026-2)-3000260011109-01,3000260011109,科学大数据管理,信息管理学院,信息管理学院,2.0,专业教育选修,专业课程,专业教育课程,2023,图书馆学（本硕博）,张睿,副教授,80\0,32,,,,,"1-16周6-7节1区枫-204(126,多媒体)",,,,,,,,档案学概论,中国人民大学出版社
2025-2026,2,(2025-2026-2)-3000260011109-01,3000260011109,科学大数据管理,信息管理学院,信息管理学院,2.0,专业教育选修,专业课程,专业教育课程,2023,档案学（本硕博）,张睿,副教授,80\0,32,,,,,"1-16周6-7节1区枫-204(126,多媒体)",,,,,,,,档案学概论,中国人民大学出版社
2025-2026,2,(2025-2026-2)-3000260011109-01,3000260011109,科学大数据管理,信息管理学院,信息管理学院,2.0,专业教育选修,专业课程,专业教育课程,2023,编辑出版学（本硕博）,张睿,副教授,80\0,32,,,,,"1-16周6-7节1区枫-204(126,多媒体)",,,,,,,,档案学概论,中国人民大学出版社
2025-2026,2,(2025-2026-2)-3000260011109-01,3000260011109,科学大数据管理,信息管理学院,信息管理学院,2.0,专业教育选修,专业课程,专业教育课程,2023,大数据管理与应用（本硕博）,张睿,副教授,80\0,32,,,,,"1-16周6-7节1区枫-204(126,多媒体)",,,,,,,,档案学概论,中国人民大学出版社
2025-2026,2,(2025-2026-2)-3000260011109-01,3000260011109,科学大数据管理,信息管理学院,信息管理学院,2.0,专业教育选修,专业课程,专业教育课程,2023,信息管理与信息系统（本硕博）,张睿,副教授,80\0,32,,,,,"1-16周6-7节1区枫-204(126,多媒体)",,,,,,,,档案学概论,中国人民大学出版社
2025-2026,2,(2025-2026-2)-3000260011109-01,3000260011109,科学大数据管理,信息管理学院,信息管理学院,2.0,专业教育选修,专业课程,专业教育课程,2023,大数据管理与应用,张睿,副教授,80\0,32,,,,,"1-16周6-7节1区枫-204(126,多媒体)",,,,,,,,档案学概论,中国人民大学出版社
2025-2026,2,(2025-2026-2)-3000260011120-01,3000260011120,学术出版,信息管理学院,信息管理学院,2.0,专业教育选修,专业课程,专业教育课程,2023,编辑出版学,张晋朝,副教授,80\0,32,,,,,,,,"1-10周11-13节1区枫-203(126,多媒体),11周11-12节1区枫-203(126,多媒体)",,,,,自编讲义,无
2025-2026,2,(2025-2026-2)-3000260011120-01,3000260011120,学术出版,信息管理学院,信息管理学院,2.0,专业教育选修,专业课程,专业教育课程,2023,信息管理与信息系统,张晋朝,副教授,80\0,32,,,,,,,,"1-10周11-13节1区枫-203(126,多媒体),11周11-12节1区枫-203(126,多媒体)",,,,,自编讲义,无
2025-2026,2,(2025-2026-2)-3000260011120-01,3000260011120,学术出版,信息管理学院,信息管理学院,2.0,专业教育选修,专业课程,专业教育课程,2023,电子商务,张晋朝,副教授,80\0,32,,,,,,,,"1-10周11-13节1区枫-203(126,多媒体),11周11-12节1区枫-203(126,多媒体)",,,,,自编讲义,无
2025-2026,2,(2025-2026-2)-3000260011120-01,3000260011120,学术出版,信息管理学院,信息管理学院,2.0,专业教育选修,专业课程,专业教育课程,2023,图书馆学,张晋朝,副教授,80\0,32,,,,,,,,"1-10周11-13节1区枫-203(126,多媒体),11周11-12节1区枫-203(126,多媒体)",,,,,自编讲义,无
2025-2026,2,(2025-2026-2)-3000260011120-01,3000260011120,学术出版,信息管理学院,信息管理学院,2.0,专业教育选修,专业课程,专业教育课程,2023,档案学,张晋朝,副教授,80\0,32,,,,,,,,"1-10周11-13节1区枫-203(126,多媒体),11周11-12节1区枫-203(126,多媒体)",,,,,自编讲义,无
2025-2026,2,(2025-2026-2)-3000260011120-01,3000260011120,学术出版,信息管理学院,信息管理学院,2.0,专业教育选修,专业课程,专业教育课程,2023,图书馆学（本硕博）,张晋朝,副教授,80\0,32,,,,,,,,"1-10周11-13节1区枫-203(126,多媒体),11周11-12节1区枫-203(126,多媒体)",,,,,自编讲义,无
2025-2026,2,(2025-2026-2)-3000260011120-01,3000260011120,学术出版,信息管理学院,信息管理学院,2.0,专业教育选修,专业课程,专业教育课程,2023,档案学（本硕博）,张晋朝,副教授,80\0,32,,,,,,,,"1-10周11-13节1区枫-203(126,多媒体),11周11-12节1区枫-203(126,多媒体)",,,,,自编讲义,无
2025-2026,2,(2025-2026-2)-3000260011120-01,3000260011120,学术出版,信息管理学院,信息管理学院,2.0,专业教育选修,专业课程,专业教育课程,2023,编辑出版学（本硕博）,张晋朝,副教授,80\0,32,,,,,,,,"1-10周11-13节1区枫-203(126,多媒体),11周11-12节1区枫-203(126,多媒体)",,,,,自编讲义,无
2025-2026,2,(2025-2026-2)-3000260011120-01,3000260011120,学术出版,信息管理学院,信息管理学院,2.0,专业教育选修,专业课程,专业教育课程,2023,大数据管理与应用（本硕博）,张晋朝,副教授,80\0,32,,,,,,,,"1-10周11-13节1区枫-203(126,多媒体),11周11-12节1区枫-203(126,多媒体)",,,,,自编讲义,无
2025-2026,2,(2025-2026-2)-3000260011120-01,3000260011120,学术出版,信息管理学院,信息管理学院,2.0,专业教育选修,专业课程,专业教育课程,2023,信息管理与信息系统（本硕博）,张晋朝,副教授,80\0,32,,,,,,,,"1-10周11-13节1区枫-203(126,多媒体),11周11-12节1区枫-203(126,多媒体)",,,,,自编讲义,无
2025-2026,2,(2025-2026-2)-3000260011120-01,3000260011120,学术出版,信息管理学院,信息管理学院,2.0,专业教育选修,专业课程,专业教育课程,2023,大数据管理与应用,张晋朝,副教授,80\0,32,,,,,,,,"1-10周11-13节1区枫-203(126,多媒体),11周11-12节1区枫-203(126,多媒体)",,,,,自编讲义,无
2025-2026,2,(2025-2026-2)-3200260011041-01,3200260011041,智慧图书馆原理与技术,信息管理学院,信息管理学院,2.0,专业教育必修,核心课程,专业教育课程,2023,图书馆学,吴志强,副教授,39\0,23,,,9,,"7-13周1-2节1区5-513(40,多媒体)",,"8-13周3-5节1区5-513(40,多媒体)",,,,,,自编讲义,无
2025-2026,2,(2025-2026-2)-3200260011041-01,3200260011041,智慧图书馆原理与技术,信息管理学院,信息管理学院,2.0,专业教育必修,核心课程,专业教育课程,2023,图书馆学（本硕博）,吴志强,副教授,39\0,23,,,9,,"7-13周1-2节1区5-513(40,多媒体)",,"8-13周3-5节1区5-513(40,多媒体)",,,,,,自编讲义,无
2025-2026,2,(2025-2026-2)-3150260011033-01,3150260011033,档案文献遗产保护,信息管理学院,信息管理学院,3.0,专业教育必修,专业课程,专业教育课程,2023,档案学,周耀林,教授,35\0,36,,,12,,,,,"1-16周3-5节1区5-513(40,多媒体)",,,,,自编讲义,无
2025-2026,2,(2025-2026-2)-3150260011033-01,3150260011033,档案文献遗产保护,信息管理学院,信息管理学院,3.0,专业教育必修,专业课程,专业教育课程,2023,档案学（本硕博）,周耀林,教授,35\0,36,,,12,,,,,"1-16周3-5节1区5-513(40,多媒体)",,,,,自编讲义,无
2025-2026,2,(2025-2026-2)-3150260011088-01,3150260011088,应用机器学习（实验）,信息管理学院,信息管理学院,1.0,专业教育必修,专业课程,专业教育课程,2023,信息管理与信息系统,李旭晖,副教授,50\0,,,,24,,,,"3-10周11-13节(,)",,,,,,机器学习方法,清华大学出版社
2025-2026,2,(2025-2026-2)-3150260011088-01,3150260011088,应用机器学习（实验）,信息管理学院,信息管理学院,1.0,专业教育必修,专业课程,专业教育课程,2023,信息管理与信息系统（本硕博）,李旭晖,副教授,50\0,,,,24,,,,"3-10周11-13节(,)",,,,,,机器学习方法,清华大学出版社
2025-2026,2,(2025-2026-2)-3150260011043-01,3150260011043,专门档案管理,信息管理学院,信息管理学院,2.0,专业教育必修,专业课程,专业教育课程,2023,档案学,程媛,副教授,31\0,32,,,,,,"1-16周1-2节1区5-209(40,多媒体)",,,,,,,自编讲义,无
2025-2026,2,(2025-2026-2)-3150260011089-01,3150260011089,信息管理课程设计,信息管理学院,信息管理学院,3.0,专业教育必修,专业课程,专业教育课程,2023,信息管理与信息系统,刘萍,教授,43\0,,,,72,,,"1-14周1-5节(,),15周1-2节(,)",,,,,,,图书馆学情报学学术规范与方法论研究,南京大学出版社
2025-2026,2,(2025-2026-2)-3000260011094-01,3000260011094,大数据管理前沿,信息管理学院,信息管理学院,2.0,专业教育必修,专业课程,专业教育课程,2023,大数据管理与应用（本硕博）,章惠,,49\0,32,,,,,"1-10周3-5节1区5-505(55,多媒体),11周3-4节1区5-505(55,多媒体)",,,,,,,,自编讲义,无
2025-2026,2,(2025-2026-2)-3000260011094-01,3000260011094,大数据管理前沿,信息管理学院,信息管理学院,2.0,专业教育必修,专业课程,专业教育课程,2023,大数据管理与应用,章惠,,49\0,32,,,,,"1-10周3-5节1区5-505(55,多媒体),11周3-4节1区5-505(55,多媒体)",,,,,,,,自编讲义,无
2025-2026,2,(2025-2026-2)-3150260011027-01,3150260011027,信息咨询与决策,信息管理学院,信息管理学院,2.0,专业教育必修,专业课程,专业教育课程,2023,图书馆学,黄颖,教授,32\0,20,,,12,,,"1-10周3-5节1区5-513(40,多媒体),11周3-4节1区5-513(40,多媒体)",,,,,,,信息咨询概论,南开大学出版社
2025-2026,2,(2025-2026-2)-3150260011092-01,3150260011092,信息计量学,信息管理学院,信息管理学院,2.0,专业教育必修,专业课程,专业教育课程,2023,图书馆学,杨思洛,教授,32\0,24,,,8,,"1-6周3-5节1区5-513(40,多媒体),7周3-4节1区5-513(40,多媒体)",,"1-6周1-2节1区5-513(40,多媒体)",,,,,,自编讲义,无
2025-2026,2,(2025-2026-2)-3000260011124-01,3000260011124,图书馆与信息中心管理,信息管理学院,信息管理学院,2.0,专业选修,专业课程,专业教育课程,2023,编辑出版学,周力虹,教授,30\0,26,,,6,,,"1-10周6-8节1区枫-216(40,多媒体),11周6-7节1区枫-216(40,多媒体)",,,,,,,自编讲义,无
2025-2026,2,(2025-2026-2)-3000260011124-01,3000260011124,图书馆与信息中心管理,信息管理学院,信息管理学院,2.0,专业选修,专业课程,专业教育课程,2023,信息管理与信息系统,周力虹,教授,30\0,26,,,6,,,"1-10周6-8节1区枫-216(40,多媒体),11周6-7节1区枫-216(40,多媒体)",,,,,,,自编讲义,无
2025-2026,2,(2025-2026-2)-3000260011124-01,3000260011124,图书馆与信息中心管理,信息管理学院,信息管理学院,2.0,专业选修,专业课程,专业教育课程,2023,电子商务,周力虹,教授,30\0,26,,,6,,,"1-10周6-8节1区枫-216(40,多媒体),11周6-7节1区枫-216(40,多媒体)",,,,,,,自编讲义,无
2025-2026,2,(2025-2026-2)-3000260011124-01,3000260011124,图书馆与信息中心管理,信息管理学院,信息管理学院,2.0,专业选修,专业课程,专业教育课程,2023,图书馆学,周力虹,教授,30\0,26,,,6,,,"1-10周6-8节1区枫-216(40,多媒体),11周6-7节1区枫-216(40,多媒体)",,,,,,,自编讲义,无
2025-2026,2,(2025-2026-2)-3000260011124-01,3000260011124,图书馆与信息中心管理,信息管理学院,信息管理学院,2.0,专业选修,专业课程,专业教育课程,2023,档案学,周力虹,教授,30\0,26,,,6,,,"1-10周6-8节1区枫-216(40,多媒体),11周6-7节1区枫-216(40,多媒体)",,,,,,,自编讲义,无
2025-2026,2,(2025-2026-2)-3000260011124-01,3000260011124,图书馆与信息中心管理,信息管理学院,信息管理学院,2.0,专业教育选修,专业课程,专业教育课程,2023,图书馆学（本硕博）,周力虹,教授,30\0,26,,,6,,,"1-10周6-8节1区枫-216(40,多媒体),11周6-7节1区枫-216(40,多媒体)",,,,,,,自编讲义,无
2025-2026,2,(2025-2026-2)-3000260011124-01,3000260011124,图书馆与信息中心管理,信息管理学院,信息管理学院,2.0,专业教育选修,专业课程,专业教育课程,2023,档案学（本硕博）,周力虹,教授,30\0,26,,,6,,,"1-10周6-8节1区枫-216(40,多媒体),11周6-7节1区枫-216(40,多媒体)",,,,,,,自编讲义,无
2025-2026,2,(2025-2026-2)-3000260011124-01,3000260011124,图书馆与信息中心管理,信息管理学院,信息管理学院,2.0,专业教育选修,专业课程,专业教育课程,2023,编辑出版学（本硕博）,周力虹,教授,30\0,26,,,6,,,"1-10周6-8节1区枫-216(40,多媒体),11周6-7节1区枫-216(40,多媒体)",,,,,,,自编讲义,无
2025-2026,2,(2025-2026-2)-3000260011124-01,3000260011124,图书馆与信息中心管理,信息管理学院,信息管理学院,2.0,专业教育选修,专业课程,专业教育课程,2023,大数据管理与应用（本硕博）,周力虹,教授,30\0,26,,,6,,,"1-10周6-8节1区枫-216(40,多媒体),11周6-7节1区枫-216(40,多媒体)",,,,,,,自编讲义,无
2025-2026,2,(2025-2026-2)-3000260011124-01,3000260011124,图书馆与信息中心管理,信息管理学院,信息管理学院,2.0,专业教育选修,专业课程,专业教育课程,2023,信息管理与信息系统（本硕博）,周力虹,教授,30\0,26,,,6,,,"1-10周6-8节1区枫-216(40,多媒体),11周6-7节1区枫-216(40,多媒体)",,,,,,,自编讲义,无
2025-2026,2,(2025-2026-2)-3000260011124-01,3000260011124,图书馆与信息中心管理,信息管理学院,信息管理学院,2.0,专业选修,专业课程,专业教育课程,2023,大数据管理与应用,周力虹,教授,30\0,26,,,6,,,"1-10周6-8节1区枫-216(40,多媒体),11周6-7节1区枫-216(40,多媒体)",,,,,,,自编讲义,无
2025-2026,2,(2025-2026-2)-3000260011166-01,3000260011166,智能信息系统,信息管理学院,信息管理学院,2.0,专业教育必修,专业课程,专业教育课程,2023,信息管理与信息系统,陆泉,教授,50\0,32,,,,,"1-10周3-5节1区5-509(60,多媒体),11周3-4节1区5-509(60,多媒体)",,,,,,,,自编讲义,无
2025-2026,2,(2025-2026-2)-3000260011166-01,3000260011166,智能信息系统,信息管理学院,信息管理学院,2.0,专业教育必修,专业课程,专业教育课程,2023,信息管理与信息系统（本硕博）,陆泉,教授,50\0,32,,,,,"1-10周3-5节1区5-509(60,多媒体),11周3-4节1区5-509(60,多媒体)",,,,,,,,自编讲义,无
2025-2026,2,(2025-2026-2)-3200260011009-01,3200260011009,档案文献编纂学,信息管理学院,信息管理学院,2.0,专业教育必修,核心课程,专业教育课程,2023,档案学,李明杰,教授,31\0,32,,,,,"1-10周3-5节1区5-409(40,多媒体),11周3-4节1区5-409(40,多媒体)",,,,,,,,自编讲义,无
2025-2026,2,(2025-2026-2)-3350260011154-01,3350260011154,运筹学,信息管理学院,信息管理学院,2.0,专业教育选修,专业课程,专业教育课程,2023,编辑出版学,张帆,,80\0,32,,,,,,,"1-16周6-7节1区枫-204(126,多媒体)",,,,,,运筹学：原理、工具及应用,机械工业出版社
2025-2026,2,(2025-2026-2)-3350260011154-01,3350260011154,运筹学,信息管理学院,信息管理学院,2.0,专业教育选修,专业课程,专业教育课程,2023,信息管理与信息系统,张帆,,80\0,32,,,,,,,"1-16周6-7节1区枫-204(126,多媒体)",,,,,,运筹学：原理、工具及应用,机械工业出版社
2025-2026,2,(2025-2026-2)-3350260011154-01,3350260011154,运筹学,信息管理学院,信息管理学院,2.0,专业教育选修,专业课程,专业教育课程,2023,电子商务,张帆,,80\0,32,,,,,,,"1-16周6-7节1区枫-204(126,多媒体)",,,,,,运筹学：原理、工具及应用,机械工业出版社
2025-2026,2,(2025-2026-2)-3350260011154-01,3350260011154,运筹学,信息管理学院,信息管理学院,2.0,专业教育选修,专业课程,专业教育课程,2023,图书馆学,张帆,,80\0,32,,,,,,,"1-16周6-7节1区枫-204(126,多媒体)",,,,,,运筹学：原理、工具及应用,机械工业出版社
2025-2026,2,(2025-2026-2)-3350260011154-01,3350260011154,运筹学,信息管理学院,信息管理学院,2.0,专业教育选修,专业课程,专业教育课程,2023,档案学,张帆,,80\0,32,,,,,,,"1-16周6-7节1区枫-204(126,多媒体)",,,,,,运筹学：原理、工具及应用,机械工业出版社
2025-2026,2,(2025-2026-2)-3350260011154-01,3350260011154,运筹学,信息管理学院,信息管理学院,2.0,专业教育选修,专业课程,专业教育课程,2023,图书馆学（本硕博）,张帆,,80\0,32,,,,,,,"1-16周6-7节1区枫-204(126,多媒体)",,,,,,运筹学：原理、工具及应用,机械工业出版社
2025-2026,2,(2025-2026-2)-3350260011154-01,3350260011154,运筹学,信息管理学院,信息管理学院,2.0,专业教育选修,专业课程,专业教育课程,2023,档案学（本硕博）,张帆,,80\0,32,,,,,,,"1-16周6-7节1区枫-204(126,多媒体)",,,,,,运筹学：原理、工具及应用,机械工业出版社
2025-2026,2,(2025-2026-2)-3350260011154-01,3350260011154,运筹学,信息管理学院,信息管理学院,2.0,专业教育选修,专业课程,专业教育课程,2023,编辑出版学（本硕博）,张帆,,80\0,32,,,,,,,"1-16周6-7节1区枫-204(126,多媒体)",,,,,,运筹学：原理、工具及应用,机械工业出版社
2025-2026,2,(2025-2026-2)-3350260011154-01,3350260011154,运筹学,信息管理学院,信息管理学院,2.0,专业教育选修,专业课程,专业教育课程,2023,大数据管理与应用（本硕博）,张帆,,80\0,32,,,,,,,"1-16周6-7节1区枫-204(126,多媒体)",,,,,,运筹学：原理、工具及应用,机械工业出版社
2025-2026,2,(2025-2026-2)-3350260011154-01,3350260011154,运筹学,信息管理学院,信息管理学院,2.0,专业教育选修,专业课程,专业教育课程,2023,信息管理与信息系统（本硕博）,张帆,,80\0,32,,,,,,,"1-16周6-7节1区枫-204(126,多媒体)",,,,,,运筹学：原理、工具及应用,机械工业出版社
2025-2026,2,(2025-2026-2)-3350260011154-01,3350260011154,运筹学,信息管理学院,信息管理学院,2.0,专业教育选修,专业课程,专业教育课程,2023,大数据管理与应用,张帆,,80\0,32,,,,,,,"1-16周6-7节1区枫-204(126,多媒体)",,,,,,运筹学：原理、工具及应用,机械工业出版社
2025-2026,2,(2025-2026-2)-3200260011028-01,3200260011028,数字商务项目策划与创新创业（创）,信息管理学院,信息管理学院,2.0,专业教育必修,创新创业课程,专业教育课程,2023,电子商务,张敏,教授,15\0,32,,,,,"1-10周3-5节1区6-304(32,多媒体),11周3-4节1区6-304(32,多媒体)",,,,,,,,自编讲义,无
2025-2026,2,(2025-2026-2)-3000260011126-01,3000260011126,数字经济,信息管理学院,信息管理学院,2.0,专业教育必修,专业课程,专业教育课程,2023,图书馆学（本硕博）,吴江,教授,26\0,26,,,6,,,"1-10周3-5节1区5-210(32,多媒体),11周3-4节1区5-210(32,多媒体)",,,,,,,自编讲义,无
2025-2026,2,(2025-2026-2)-3000260011126-01,3000260011126,数字经济,信息管理学院,信息管理学院,2.0,专业教育必修,专业课程,专业教育课程,2023,档案学（本硕博）,吴江,教授,26\0,26,,,6,,,"1-10周3-5节1区5-210(32,多媒体),11周3-4节1区5-210(32,多媒体)",,,,,,,自编讲义,无
2025-2026,2,(2025-2026-2)-3000260011126-01,3000260011126,数字经济,信息管理学院,信息管理学院,2.0,专业教育必修,专业课程,专业教育课程,2023,编辑出版学（本硕博）,吴江,教授,26\0,26,,,6,,,"1-10周3-5节1区5-210(32,多媒体),11周3-4节1区5-210(32,多媒体)",,,,,,,自编讲义,无
